appid,title,contents,date,tags
990080,Ministry of Magic Sale!,"Celebrate the opening of The Wizarding World of Harry Potter (TM) - Ministry of Magic (TM) at Universal Epic Universe on May 22, 2025 with great savings on Hogwarts Legacy, Harry Potter: Quidditch Champions and LEGO Harry Potter Collection! Ministry of Magic Sale Page",1747675826,
990080,Hogwarts Legacy Game and Creator Kit Patch Notes - 4/17/2025,"Hogwarts Legacy Build Version – 1378783 Developer notes This patch provides additional enhancements, bug fixes, and overall MODs support to the PC version of the game. Patch Overview: Localization Resolved issue where the unsupported mod crash popup would be incorrectly formatted in some languages. UI Resolved large font rating text being cut off on mod page. Resolved issue where mod order numbers were exceeding the bounds of their icons while using the large text option. Removed the state change of the report button to avoid confusion if clicked multiple times. Resolved issue where pressing the continue button in the load game window would not load the game. Resolved issue where the prompts for enable and disable mods were reversed. Resolved search input losing focus after page content loads. Resolved in game date not matching CurseForge website. Removed search bar from all tabs in the mod menus except for the ""Browse"" tab as the search function always brings you to the browse tab. Minor visual improvements for mod image loading. Resolved infinite spinner while offline in mods screen. Resolved issue where offline notification window could not be closed. Added an easier way to batch repair and update multiple enabled mods at once. Added improvements to the usability of modded save UI. Resolved seams with pagination in mod page. Resolved banner resize and transitions issues. Added view all buttons to Discovery tab shelves. Resolved certain resolutions causing overlapping issues in mod description and details. Resolved not showing notification when repair was completed in tab. Resolved manual sorting of categories in related widgets on the Discovery and Browse tab. Resolved favorite legend text not being correctly set in the mod page. Resolved display settings issues where low latency options would not update upon changing upscaler type. Resolved an issue where details pages for unavailable mods were displaying incorrectly. Resolved an issue where unavailable mods were showing the ""Not Installed"" alert title. Resolved style card grid having 5 rows. Resolved large text issues in mod’s detail page. Resolved no repair prompt being available when launching save file repair option. Better aligned sorting terminology with its actual meaning. Resolved an issue where the UI was displaying multiple confirm prompts on the same error window. Resolved an issue where mods could be uninstalled while they were updating. Resolved issues with the sorting function not being reset upon changing tabs. Added additional error messaging for when staging a mod fails due to a corrupt mod. Changed the default input on controller for “copy save” to be the options button. Resolved issue where uninstalled mods remained in the installed list after switching tabs. Resolved issue where creators were unable to update installed mods in the uploaded section. Raytracing Resolved Hogsmeade watermill shadow not rotating with asset. Resolved Raytracing reflection system resolution issues. Stability/Performance Resolved performance hit when accessing library tab with a large number of mods installed. Resolved a hitch when hovering on character slot that has a large number of mods enabled. Resolved an issue where older saves using mods sometimes were unable to refresh store inventory. Fixed bug where Low Latency Mode would not update when Frame Generation was changed. Resolved FSR2 screen space reflection noise. Resolved various minor upscaler issues. Miscellaneous Implemented support for Intel's Low Latency (XeLL) and Frame Generation (XeFG) Technologies. Updated Intel's XeSS 2 version to latest revision. Implemented AMD FSR3. Resolved SSL verification issue which prevented some players from connecting to WB Games Online Services. HL-21937 Implemented AMD Anti-Lag 2. Added newly released GPUs to GPU List so graphics options correctly default. Resolved issue which caused missing graphics options in the settings menu on some graphics cards HL-21946 Hogwarts Legacy Creator Kit Build Version – 1372712 Developer notes – This patch provides bug fixes for the Creator Kit. Patch Overview: Editor Removed limitation which prevented mod sizes below 250MB by removing the need for the Development Asset Registry File. Note: If you would like your existing published mods to be reduced in size you will have to re-upload them to Curse Forge and have them re-cooked as an update for the size reduction to take effect. Resolved issue where custom fast travel was not saving in the quest editor once the Creator Kit was closed. Resolved crash when running peeves validation on mods that effect skeletal mesh max bone influence. Resolved crash if player tries to use a station in the creator kit. Made improvements to local mod validation tool to reduce how strict it is. Added ""Account Info"" button to the Creator Kit toolbar. Resolved an issue that can cause some gear appearance items to fail to load when certain mods are active. HLCK-16 Added a new function to mod mutators th...",1744903556,['patchnotes']
990080,Добби недоволен: WB Games отказалась выпускать Hogwarts Legacy Definitive Edition,Издательство <strong>WB Games</strong> приняло решение отменить планы по выпуску расширенной версии Hogwarts Legacy. Об этом сообщает издание <strong>Bloomberg</strong>. ,1743203656,
990080,Butterbeer Season Sale!,"Save on Hogwarts Legacy, LEGO Harry Potter and Harry Potter: Quidditch Champions in WB Games' Butterbeer Season Sale! Butterbeer Season Sale Page Butterbeer Season celebrates the iconic beverage from the magical world of Harry Potter. Butterbeer was first introduced in Harry Potter and the Prisoner of Azkaban and is a fan favorite symbol of joy, comfort, warmth and togetherness. Fans have loved the varied Butterbeer offerings available at The Wizarding World of Harry Potter at Universal Destinations & Experiences global theme parks, Warner Bros. Studio Tours in Hollywood, Tokyo and London, Harry Potter Shops in London, and New York, and many of the Harry Potter touring experiences around the world. Now, every March through May, fans around the world will have the opportunity to celebrate Butterbeer in new and unexpected ways during Butterbeer Season. Look out for new treats, limited-edition products, events, and activations to experience the joy of Butterbeer!",1742838654,
990080,Джейсон Шрайер: Hogwarts Legacy 2 решили не делать сервисной игрой,"Хорошая новость для любителей одиночных игр и <strong>Hogwarts Legacy</strong> (<a href=""https://gamemag.ru/reviews/hogwarts-legacy-xbox-review""><strong>наш обзор</strong></a>) в частности — <strong>Hogwarts Legacy 2 решили не делать сервисной игрой</strong> . Об этом в свежем выпуске подкаста <strong>Kinda Funny Games</strong> рассказал журналист <strong>Bloomberg Джейсон Шрайер</strong>. ",1740695460,
990080,Hogwarts Legacy Game and Creator Kit Patch Notes - 02/27/2025,"Hogwarts Legacy Build Version – 1344582 Developer notes – This patch provides additional enhancements, bug fixes, and overall MODs support to the PC version of the game. Patch Overview: Localization Resolved download progress counter on mod cards misaligned in Japanese General localization support UI Resolved download progress counter on mod cards misaligned in Japanese General localization support UI Resolved KBM prompt missing from “Favorite” and “Install” options Resolved not being able to open privacy policy and terms of service Resolved placeholder text for Switch Pro controller inputs - HL-21944 Resolved mod description flickering when changing resolutions in window mode Resolved customizable wands not triggering correctly Resolved “Enable Mods” not working correctly when navigating away Resolved new gear default being costume only Resolved the update required icon not appearing correctly Resolved icon missing to indicate a reload and/or update to a mod Resolved wand replacement mods listing in opposite order Resolved prompt to restart game for updating mods not popping up Resolved debug code being displayed in save name when playing mod mission Resolved text being cut off or unaligned using more than 109 characters Resolved mod save file having wrong exclamation mark Resolved category icons in detail page might appear duplicated Resolved mods not remaining updated after exiting details page Resolved save confirmation text being inconsistent Resolved “No Connection” text overlapping menus when offline Resolved user not being able to unselect report option Resolved “Update” prompt remaining displayed while updating mod Resolved Q and E keys in the mod menu not cycling to the other side Resolved blue and red indicators appearing correctly without to hover over list Resolved category icon spinning after updating is completed for a mod Resolved not being able to adjust ratings on a mod Resolved clicking on “Recent Project” restarting the engine and disconnecting from CurseForge Resolved mod and CurseForge image logo requirements being different Resolved error messages when uploading mods without required fields not being clear Resolved maximum number of characters being different in various areas Resolved maximum number of characters in mod’s description exceeding the creator kit causing text to not display properly on CurseForge Resolved transparency of featured mods and arrow at the bottom of the screen not updating when scrolling page with a controller Resolved the number of ratings being cut off when reaching a 1000 or more Resolved some mods displaying small, light blue font in the mods details Resolved long mod names not being displayed over two lines on their cards Implemented a pop-up dialog to show if the game crashes do to detection of Nexus or similar mod previously in use Gameplay Resolved custom fast travels not working Resolved ‘Third Time’s a Charm’ not being able to be unlocked Resolved silent restart failing with mods Resolved moth picture frame image in mod being replaced with a placeholder Resolved basic attack leaving blank impacts on hit surfaces Stability/Performance Resolved General Creator Kit support Resolved crash when talking to Ollivander with the any wand mod installed Resolved crash occurring when walking through Ancient Magic gate Miscellaneous General text adjustments Resolved long names causing underscores to vanish Resolved grammar issues in mods Resolved file path being displayed incorrectly Resolved scrolling down with mouse vs controller have different results Updated the feature image on the Discovery page Resolved keybinds for ‘Open Mod Reorder Menu’ and ‘Move Mod Order Up/Down’ not functioning properly NOTE: This fix required the global resetting of all custom keybinds Hogwarts Legacy Creator Kit Build Version – 1344202 Developer notes – This patch provides bug fixes for the Creator Kit. Patch Overview: Editor Resolved Dungeon entrance blueprint disappearing when changing mod and entering a different level Resolved mods replacing blueprints ",1740674025,['patchnotes']
990080,Steam Global Top Sellers for week of 4 Feb — 11 February 2025,"<a href=""https://steamdb.info/topsellers/2025W07/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS""> </a> * <a href=""https://steamdb.info/app/1771300/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Kingdom Come: Deliverance II</a>; * <a href=""https://steamdb.info/app/1295660/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Sid Meier's Civilization VII</a>; * <a href=""https://steamdb.info/app/2246340/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Monster Hunter Wilds</a>; * <a href=""https://steamdb.info/app/1675200/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Steam Deck</a>; * <a href=""https://steamdb.info/app/553850/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">HELLDIVERS™ 2</a>; * <a href=""https://steamdb.info/app/1174180/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Red Dead Redemption 2</a>; * <a href=""https://steamdb.info/app/252490/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Rust</a>; * <a href=""https://steamdb.info/app/2878980/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">NBA 2K25</a>; * <a href=""https://steamdb.info/app/990080/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Hogwarts Legacy</a>; * <a href=""https://steamdb.info/app/2694490/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Path of Exile 2</a>; <i>* excluding free to play games</i> <a href=""https://steamdb.info/topsellers/2025W07/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">View top 100 on SteamDB</a>",1739264400,
990080,Happy Anniversary!,"Thank you to the Witches & Wizards, who have graced our halls and grounds, uncovered hidden secrets, flown on the backs of Hippogriffs, and so much more for another year. Happy Anniversary! {STEAM_CLAN_IMAGE}/42155078/2b418a0b9a246efbc86f5a0ba3bdc8832dcbaf87.jpg #HogwartsLegacy",1739230476,
990080,Hogwarts Anniversary Sale!,"Now through February 10th, celebrate the Second Anniversary of the release of Hogwarts Legacy with great savings on Hogwarts Legacy, Harry Potter: Quidditch Champions and LEGO Harry Potter Collection! Save 70% on Hogwarts Legacy! Save 60% on Harry Potter: Quidditch Champions! Save 50% on LEGO Harry Potter Collection! ",1738606394,
990080,Полет фантазии начался: ПК-версия Hogwarts Legacy получила поддержку модов,"Студия <strong>Avalanche Software</strong> объявила о релизе большого обновления для ПК-версии <strong>Hogwarts Legacy</strong>, которое добавило в игру официальную поддержку модов. В честь этого был выпущен новый трейлер. ",1738299578,
