appid,title,contents,date,tags
578080,Map Service Report - Update 39.1,{STEAM_CLAN_IMAGE}/27971017/c6c8adc4d5670ed2aab016cc334af385eb01a5f7.png Read the full announcement here!,1764655209,
578080,Patch Notes - Update 39.1,{STEAM_CLAN_IMAGE}/27971017/70f57d0776858260b200e61d0e2f2334b4f2f800.jpg Read the full announcement here!,1764655209,
578080,PUBG: BATTLEGROUNDS Weekly Bans Notice (11/17~11/23),{STEAM_CLAN_IMAGE}/27971017/6665b8db8893f3f61b8adffd82c7fa3705dd09be.png Read the full announcement here!,1764140438,
578080,PUBG x Porsche Web Event Winners,{STEAM_CLAN_IMAGE}/27971017/8ba030232633a9a22c8f608884110b3ce688270a.png Read the full announcement here!,1763967616,
578080,"PUBG's extraction shooter spin-off, Black Budget, is finally going to be playable next month","You’d be forgiven for not remembering <a href=""https://www.vg247.com/games/pubg-black-budget"">PUBG: Black Budget</a>, the extraction off-shoot of the original battle royale shooter, <a href=""https://www.vg247.com/games/playerunknowns-battlegrounds"">PUBG</a>. Black Budget has been sort of floating around the internet for months, but Krafton never really committed to revealing core details about the game, or when players will actually get to play it. <a href=""https://www.vg247.com/pubg-black-budget-closed-alpha-test-dates-details"">Read more</a> ",1763723216,
578080,PUBG: BATTLEGROUNDS Weekly Bans Notice (11/10~11/16),{STEAM_CLAN_IMAGE}/27971017/6665b8db8893f3f61b8adffd82c7fa3705dd09be.png Read the full announcement here!,1763535618,
578080,Dev Letter: Anti-Cheat Improvements and Actions for Fair Play,{STEAM_CLAN_IMAGE}/27971017/bec6b560d3e8b6691a748abf5602af472342b702.png Read the full announcement here!,1763103638,
578080,PUBG: BATTLEGROUNDS Weekly Bans Notice (11/03~11/09),{STEAM_CLAN_IMAGE}/27971017/6665b8db8893f3f61b8adffd82c7fa3705dd09be.png Read the full announcement here!,1762931226,
578080,BATTLEGROUNDS Plus Discount: Celebrating the Console Service Transition,{STEAM_CLAN_IMAGE}/27971017/505f3c10e495ec2d2fdb3ba783a4597440ee12a1.jpg Read the full announcement here!,1762844453,
578080,PUBG: BATTLEGROUNDS Weekly Bans Notice (10/27~11/02),{STEAM_CLAN_IMAGE}/27971017/6665b8db8893f3f61b8adffd82c7fa3705dd09be.png Read the full announcement here!,1762326053,
578080,PUBG x Porsche,"{STEAM_CLAN_IMAGE}/27971017/0aa5fa94ce39900c65649dba8646d3f2a015eb77.jpg Porsche in PUBG: BATTLEGROUNDS Elegance in motion, refined performance, and timeless design — Porsche arrives on the Battlegrounds. The balance of emotion and engineering, power encased in elegance. Porsche has always embodied the perfect harmony between sporty performance and everyday comfort. This dedication to craftsmanship, where every detail pursues perfection, elevates Porsche beyond a mere vehicle, transforming it into a moving piece of art. Through the PUBG x Porsche collaboration, you can experience Porsche's high-end lineup, each model boasting a unique charm. Discover the Panamera Turbo S, which sets the standard for luxury sedans with its innovative performance and unparalleled comfort; the 911 Carrera GTS, the quintessential sports car that combines thrilling performance with everyday practicality; and the Cayenne Turbo GT, where SUV versatility meets racing DNA for unmatched power. Experience the true Porsche driving sensation on the Battlegrounds. With Porsche, where performance meets elegance, every moment on the Battlegrounds becomes art. Read the full announcement here!",1762322450,"['mod_reviewed', 'ModAct_1425979202_1762323740_0', 'ModAct_1425979202_1762331773_4', 'ModAct_1425979202_1762337457_4', 'ModAct_1425979202_1762342630_4', 'ModAct_1425979202_1762348045_4', 'mod_require_rereview']"
578080,Special Drops - November 2025,{STEAM_CLAN_IMAGE}/27971017/6640e8c33657e79f8f42688f1d7768849ac7fe52.jpg Read the full announcement here!,1762318846,
578080,November Store Update 2025,{STEAM_CLAN_IMAGE}/27971017/15d954fe27ae26e0cc0e28ecbf4ada39ace76ca4.jpg Read the full announcement here!,1762239602,
578080,Map Service Report - Update 38.2,{STEAM_CLAN_IMAGE}/27971017/77ae26368fb57beaca546055e8852cdc86473044.jpg Read the full announcement here!,1762236061,
578080,Patch Notes - Update 38.2,{STEAM_CLAN_IMAGE}/27971017/765de76147bfa69d828032382cf05d3475c89b2b.jpg Read the full announcement here!,1762236059,
578080,Console Service Update: Transition Details & Special Rewards,{STEAM_CLAN_IMAGE}/27971017/8e67cebe738f95abb01d2caf616d8d1e1776c544.png Read the full announcement here!,1762153250,
578080,PUBG Global Series 10 Final Stage DAY 2,"📍 Seremban, Malaysia🪂 24 teams📅 27 Oct-2 Nov💰 $300,000Group stage: 27 - 29 OctFinals stage: 31 Oct - 2 NovFollow PUBG Esports on social media at:X: @PUBGEsportsInstagram: @PUBGEsportsTikTok: @PUBG.esports.official",1761987631,
578080,PUBG Global Series 10 Final Stage DAY 1,"📍 Seremban, Malaysia🪂 24 teams📅 27 Oct-2 Nov💰 $300,000Group stage: 27 - 29 OctFinals stage: 31 Oct - 2 NovFollow PUBG Esports on social media at:X: @PUBGEsportsInstagram: @PUBGEsportsTikTok: @PUBG.esports.official",1761901222,
578080,PUBG Global Series 10 Group Stage DAY 3,"📍 Seremban, Malaysia🪂 24 teams📅 27 Oct-2 Nov💰 $300,000Group stage: 27 - 29 OctFinals stage: 31 Oct - 2 NovFollow PUBG Esports on social media at:X: @PUBGEsportsInstagram: @PUBGEsportsTikTok: @PUBG.esports.official",1761728422,
578080,PUBG: BATTLEGROUNDS Weekly Bans Notice (10/20~10/26),{STEAM_CLAN_IMAGE}/27971017/6665b8db8893f3f61b8adffd82c7fa3705dd09be.png Read the full announcement here!,1761721216,
578080,PUBG Global Series 10 Group Stage DAY 2,"📍 Seremban, Malaysia🪂 24 teams📅 27 Oct-2 Nov💰 $300,000Group stage: 27 - 29 OctFinals stage: 31 Oct - 2 NovFollow PUBG Esports on social media at:X: @PUBGEsportsInstagram: @PUBGEsportsTikTok: @PUBG.esports.official",1761642023,
578080,PUBG Global Series 10 Group Stage DAY 1,"📍 Seremban, Malaysia🪂 24 teams📅 27 Oct-2 Nov💰 $300,000Group stage: 27 - 29 OctFinals stage: 31 Oct - 2 NovFollow PUBG Esports on social media at:X: @PUBGEsportsInstagram: @PUBGEsportsTikTok: @PUBG.esports.official",1761554229,
578080,PUBG: BATTLEGROUNDS Weekly Bans Notice (10/13~10/19),{STEAM_CLAN_IMAGE}/27971017/6665b8db8893f3f61b8adffd82c7fa3705dd09be.png Read the full announcement here!,1761116453,
578080,Arcade: PUBG x Skibidi Toilet,{STEAM_CLAN_IMAGE}/27971017/7af5ca61efd9ffb5463ad692b195e34e8e3ffa84.jpg Read the full announcement here!,1761116453,
578080,PUBG Global Series 9 Final Stage DAY 3,"📍 Seremban, Malaysia🪂 24 teams📅 13 Oct-19 Oct💰 $300,000Group stage: 13 - 15 OctFinals stage: 17 - 19 OctFollow PUBG Esports on social media at:X: @PUBGEsportsInstagram: @PUBGEsportsTikTok: @PUBG.esports.official",1760864453,
578080,PUBG Global Series 9 Final Stage DAY 2,"📍 Seremban, Malaysia🪂 24 teams📅 13 Oct-19 Oct💰 $300,000Group stage: 13 - 15 OctFinals stage: 17 - 19 OctFollow PUBG Esports on social media at:X: @PUBGEsportsInstagram: @PUBGEsportsTikTok: @PUBG.esports.official",1760778042,
578080,PUBG Global Series 9 Final Stage DAY 1,"📍 Seremban, Malaysia🪂 24 teams📅 13 Oct-19 Oct💰 $300,000Group stage: 13 - 15 OctFinals stage: 17 - 19 OctFollow PUBG Esports on social media at:X: @PUBGEsportsInstagram: @PUBGEsportsTikTok: @PUBG.esports.official",1760691632,
578080,PUBG Global Series 9 Group Stage DAY 3,"📍 Seremban, Malaysia🪂 24 teams📅 13 Oct-19 Oct💰 $300,000Group stage: 13 - 15 OctFinals stage: 17 - 19 OctFollow PUBG Esports on social media at:X: @PUBGEsportsInstagram: @PUBGEsportsTikTok: @PUBG.esports.official",1760518803,
578080,PUBG: BATTLEGROUNDS Weekly Bans Notice (10/06~10/12),{STEAM_CLAN_IMAGE}/27971017/6665b8db8893f3f61b8adffd82c7fa3705dd09be.png Read the full announcement here!,1760511657,
578080,Special Drops - October 2025,{STEAM_CLAN_IMAGE}/27971017/aa4aed88b323d5bb8212efd2ce9cb4294f60abce.png Read the full announcement here!,1760504451,
