appid,title,contents,date,tags
448940,Alien Attack In Space Release,http://store.steampowered.com/app/391310/,1466546043,
448940,New Contest Comning Soon,"We love to play for high stakes. 10000$ Reward. For the one who will take the next level of ""Diamond"" protection. This contest, will be available with next update. Be ready! Have Fun! ",1466172880,
448940,Congratulations!,Terminal was hacked - https://steamcommunity.com/profiles/76561198026618324 http://steamcommunity.com/sharedfiles/filedetails/?id=705253785 I admire this guy!!!,1466167116,
448940,Hack it! (contest),"The first person, who can hack the terminal and upload sequencing of hacking in the game`s community, will get money reward - 100$!+ We are warning that it`s not easy to hack it, that`s why the money reward will rise by 100 $ every week from the beginning. Good luck and be intent! ",1464237167,
