appid,title,contents,date,tags
1755910,Capcom Summer Sale! Get up to 87% off on popular titles!,Want to join the hunt? Get Monster Hunter Wilds on sale for the first time at 20% off in the Capcom Summer Sale! But that's not all! The highly anticipated ninth title in the mainline Resident Evil series has been announced! Jump (back) into the series with the Resident Evil Remake Trilogy now on sale at 55% off! Play three games in one pack! Don’t miss this chance to grab some of Capcom's most beloved titles at a incredible prices! https://clan.fastly.steamstatic.com/images/43107541/fc16f298aca766eeef47574371571cbb82cf6807.jpg https://store.steampowered.com/app/2246340/Monster_Hunter_Wilds/ https://store.steampowered.com/app/1196590/BIOHAZARD_VILLAGE/ https://store.steampowered.com/sub/1142889/ https://store.steampowered.com/app/2054970/Dragons_Dogma_2/ https://store.steampowered.com/app/787480/_123/ https://store.steampowered.com/app/1515950/Capcom_Arcade_Stadium/,1750989733,
1755910,Huge sale in this publisher sale! Get up to 87% off on popular titles!,"Get a deal on Resident Evil Village at 75% off in this publisher sale! Whether you're new to the story or eager to relive the experience, now is the perfect time to dive into the world of Resident Evil. But that's not all—Dragon's Dogma 2 is also available for a great offer! Finally, get popular series like ""Monster Hunter"" and ""Devil May Cry"" series at unbeatable prices. Don’t miss this chance to grab some of Capcom's most beloved titles at a incredible discounts! https://clan.fastly.steamstatic.com/images/33038843/8d8891851e54f266d550eefbdecd454f78b9be20.jpg https://store.steampowered.com/app/1196590/ https://store.steampowered.com/app/2050650/　https://store.steampowered.com/app/2054970/Dragons_Dogma_2/ https://store.steampowered.com/app/582010/Monster_Hunter_World/ https://store.steampowered.com/app/601150/Devil_May_Cry_5/ https://store.steampowered.com/sub/1045545/ https://store.steampowered.com/sub/1257696/",1749174678,
1755910,Spend Golden Week with Capcom’s hottest titles!,"Get ready to level up your library! Fan-favorite franchises like Resident Evil, Monster Hunter, Street Fighter, Mega Man, and more are on sale now—up to 87% off! Don’t miss the Monster Hunter Series Pack, a value-packed bundle featuring multiple iconic titles from the Monster Hunter series. It’s the ultimate way to dive into the hunt! Act fast—these unbeatable deals won’t last forever. https://clan.fastly.steamstatic.com/images/42506953/7006e5123a1c0377d939da5c13604fe31f299bd8.png https://store.steampowered.com/bundle/39039/ Note: The Monster Hunter Series Pack includes the same content as the previously released Monster Hunter 20th Anniversary Series Pack. https://store.steampowered.com/app/582010/Monster_Hunter_World/ https://store.steampowered.com/app/1446780/MONSTER_HUNTER_RISE/ https://store.steampowered.com/app/2356560/_/ https://store.steampowered.com/app/1277400/2/ https://store.steampowered.com/app/2054970/Dragons_Dogma_2/ https://store.steampowered.com/app/2050650/BIOHAZARD_RE4/ https://store.steampowered.com/sub/1257696/",1745457704,
1755910,Capcom Single's Day Sale Now Live,"■FANTASTIC - Save up to 80% on Popular Titles! Capcom’s popular games are available with fantastic deals. For the first time ever, Apollo Justice: Ace Attorney Trilogy is up to 40% off. In addition to the Ace Attorney series, the Monster Hunter series, which offers the ultimate hunting action, is also on sale. Don’t miss out on these amazing offers and get Capcom’s popular titles at exceptional prices! https://clan.akamai.steamstatic.com/images/33118028/ef049c5b2e55d417a2a5b04accd3c233b932ea63.jpg https://store.steampowered.com/app/2187220/456/ https://store.steampowered.com/bundle/39039/ https://store.steampowered.com/bundle/39170/ https://store.steampowered.com/app/2356560/_/ https://store.steampowered.com/app/1446780/MONSTER_HUNTER_RISE/ https://store.steampowered.com/app/582010/Monster_Hunter_World/ https://store.steampowered.com/app/1755910/Capcom_Arcade_2nd_Stadium/",1731027622,
1755910,Capcom Mid-Year Deals Now Live,"■Capcom Discount Sale: Up to 84% Off Popular Titles! Grab Capcom's fan-favorite games at unbeatable prices during our exciting discount sale! For the first time ever, ""Apollo Justice: Ace Attorney Trilogy"" is available at 20% off. Plus, to celebrate the release of the complete ""Ace Attorney Anthology,"" you can get it at an initial 25% off. Don't miss this chance to own these timeless masterpieces at incredible prices. Dive into the world of Capcom and enjoy these great deals while they last! https://clan.akamai.steamstatic.com/images/44643874/016e580f502f2fab9bdbddb375d42c960ca0252f.jpg https://store.steampowered.com/app/2187220/456/ https://store.steampowered.com/sub/1045545/ https://store.steampowered.com/app/1286320/EXOPRIMAL/ https://store.steampowered.com/app/2050650/BIOHAZARD_RE4/ https://store.steampowered.com/bundle/32602/Capcom_Arcade_Stadium_Complete_Pack/",1717988203,
1755910,Capcom 40th Anniversary Sale!,"■40th Anniversary Pack and digital discount taking place! We are offering a ""Capcom 40th Anniversary Pack"" for limited time! Make sure to grab it while it's still available! https://store.steampowered.com/developer/capcom/sale/40thanniversary https://store.steampowered.com/bundle/32572/CAPCOM_40TH_ANNIVERSARY_PACK/ https://store.steampowered.com/app/787480/_123/ https://store.steampowered.com/app/999020/_/ https://store.steampowered.com/app/601150/Devil_May_Cry_5/ ■The “Capcom Arcade Stadium Complete Pack” that features all 64 titles is now on sale! All the titles available for “Capcom Arcade Stadium” and “Capcom Arcade 2nd Stadium” have been bundled up in the attractively priced “Capcom Arcade Stadium Complete Pack” and is on sale now! Relive the excitement of the arcade just like you remember it! If you’ve already purchased some titles included in “Capcom Arcade Stadium” and “Capcom Arcade 2nd Stadium” there’s no need to worry. You’ll be able to purchase only the titles you don’t own yet at a reduced price! Purchase the “Capcom Arcade Stadium Complete Pack” and complete your arcade collection! https://store.steampowered.com/bundle/32602/Capcom_Arcade_Stadium_Complete_Pack/",1686549697,
1755910,Free game & DLC sale!,"■ Hit the streets of Metro City for free! https://store.steampowered.com/app/1556712/Capcom_Arcade_Stadium/ Celebrate the start of pre-orders for Street Fighter(TM) 6 with a free game! Metro City is the setting of the original Final Fight, and is also featured in the new World Tour mode in Street Fighter 6. You can download Capcom Arcade Stadium: Final Fight for free until December 12, 2022. ■ Street Fighter 6 Pre-order now! On sale June 2, 2023 https://store.steampowered.com/app/1364780/Street_Fighter_6/ ■ Capcom Arcade 2nd Stadium Don't miss out on a 50% discount for individual titles in this game. TGA sale: https://store.steampowered.com/developer/capcom/sale/tga https://store.steampowered.com/app/1879140/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842989/Capcom_Arcade_2nd_StadiumII__The_Anniversary_Edition/?curator_clanid=42506953 https://store.steampowered.com/app/1842988/Capcom_Arcade_2nd_Stadium_ZERO3/?curator_clanid=42506953 https://store.steampowered.com/app/1842987/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842986/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842985/Capcom_Arcade_2nd_Stadium__The_Lord_of_Vampire/?curator_clanid=42506953 https://store.steampowered.com/app/1842984/Capcom_Arcade_2nd_Stadium_2/?curator_clanid=42506953 https://store.steampowered.com/app/1842983/Capcom_Arcade_2nd_StadiumIIX/?curator_clanid=42506953 https://store.steampowered.com/app/1842982/Capcom_Arcade_2nd_Stadium__DARKSTALKERS_REVENGE/?curator_clanid=42506953 https://store.steampowered.com/app/1842981/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842980/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842979/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842978/Capcom_Arcade_2nd_StadiumRally_2011_LED_STORM/?curator_clanid=42506953 https://store.steampowered.com/app/1842977/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842976/Capcom_Arcade_2nd_Stadium1943/?curator_clanid=42506953 https://store.steampowered.com/app/1842975/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842974/Capcom_Arcade_2nd_Stadium_ZERO2/?curator_clanid=42506953 https://store.steampowered.com/app/1842973/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842972/Capcom_Arcade_2nd_Stadium_ZERO/?curator_clanid=42506953 https://store.steampowered.com/app/1842971/Capcom_Arcade_2nd_Stadium__The_Night_Warriors/?curator_clanid=42506953 https://store.steampowered.com/app/1842970/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842969/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842968/Capcom_Arcade_2nd_Stadium__THE_BODY_EXPLOSION/?curator_clanid=42506953 https://store.steampowered.com/app/1842967/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842966/Capcom_Arcade_2nd_Stadium3/?curator_clanid=42506953 https://store.steampowered.com/app/1842965/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842963/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842962/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842961/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842960/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953"" ",1670562776,
1755910,Patch Update for the Steam version of Capcom Arcade 2nd Stadium,"We have released an update that addresses the following issues for the Steam version of Capcom Arcade 2nd Stadium: • Issue where the base game, “SONSON” was unplayable. • Issue where the purchased DLC were inaccessible. ",1662047765,
