iter	R2	RMSE
160	0.8668675434	0.7518009778
161	0.8670751255	0.7512146395
162	0.8675456343	0.7498839389
163	0.8677341352	0.7493501545
164	0.8680181966	0.7485450493
165	0.8684259159	0.7473879491
166	0.8687278265	0.7465299766
167	0.8690588286	0.7455881968
168	0.8694579763	0.744450942
169	0.8699675126	0.7429966376
170	0.8704908478	0.7414999796
171	0.8708211734	0.7405537423
172	0.87109269	0.7397750605
173	0.8713477369	0.7390428647
174	0.8716886415	0.7380630522
175	0.8719716303	0.7372487092
176	0.8722220868	0.7365272319
177	0.8724938104	0.7357436916
178	0.872905806	0.7345540691
179	0.8732939411	0.7334315779
180	0.8735861017	0.7325855115
181	0.8738957764	0.7316876583
182	0.8743177086	0.7304625556
183	0.8746680106	0.7294438715
184	0.8751738229	0.7279704461
185	0.8756862336	0.7264747525
186	0.8761977065	0.7249787187
187	0.8766312223	0.7237082846
188	0.8768772926	0.7229861731
189	0.877232583	0.7219422732
190	0.8775146464	0.7211124496
191	0.877778564	0.7203351448
192	0.8781311828	0.7192952813
193	0.8784672083	0.7183029505
194	0.879228293	0.7160502745
195	0.8794424465	0.7154151393
196	0.8796091516	0.7149203358
197	0.879863519	0.7141646781
198	0.8800156369	0.7137123939
199	0.8803173274	0.7128145447
200	0.88054586	0.712133664
201	0.8807711041	0.7114619435
202	0.8809997051	0.7107795631
203	0.8813663275	0.7096838147
204	0.8815509044	0.709131517
205	0.881825067	0.7083103626
206	0.8819864621	0.7078265169
207	0.8821511685	0.7073324029
208	0.8824581417	0.706410571
209	0.8826661786	0.7057851575
210	0.8829645894	0.7048870872
211	0.8831929106	0.7041991791
212	0.8835094695	0.7032443067
213	0.883942855	0.7019349301
214	0.8840906883	0.7014877264
215	0.88430398	0.7008420043
216	0.8845175829	0.7001947432
217	0.8847594359	0.6994611555
218	0.8854098119	0.6974846101
219	0.8856584519	0.6967274916
220	0.8859355188	0.6958828413
221	0.886156743	0.6952076932
222	0.8864120568	0.6944276921
223	0.8865910349	0.6938803788
224	0.8868019661	0.6932347988
225	0.8871220822	0.692253895
226	0.8875632316	0.6908998376
227	0.8878884309	0.6898999744
228	0.8881054275	0.689231986
229	0.8883386453	0.6885133405
230	0.8884629099	0.6881301209
231	0.8886431366	0.6875739402
232	0.8889064357	0.6867605879
233	0.8892916232	0.6855689739
234	0.8894867134	0.6849646528
235	0.8897820903	0.6840486631
236	0.8900318286	0.6832732443
237	0.890240491	0.6826246879
238	0.8903615865	0.6822480209
239	0.8905301558	0.6817233403
240	0.8908948629	0.6805867863
241	0.8911053062	0.6799301076
242	0.8912363764	0.6795207881
243	0.8915076533	0.678672833
244	0.8916863907	0.6781135574
245	0.8918337613	0.6776520827
246	0.8920632992	0.6769326831
247	0.8923179766	0.6761335977
248	0.8925337186	0.6754559379
249	0.8928469263	0.6744709204
250	0.89306729	0.6737770282
251	0.8934015136	0.6727232418
252	0.8935340991	0.6723047504
253	0.8937997469	0.671465478
254	0.893921044	0.6710819098
255	0.8940334534	0.6707262506
256	0.894274401	0.6699632651
257	0.8945989199	0.6689342672
258	0.8947443392	0.6684726518
259	0.8948534531	0.6681260741
260	0.89498419	0.6677105782
261	0.8950489186	0.6675047679
262	0.895253383	0.6668542386
263	0.8954361067	0.6662723426
264	0.8956433379	0.6656117853
265	0.8959360774	0.6646775486
266	0.8961013763	0.6641494397
267	0.8961683723	0.6639352765
268	0.8965375216	0.6627539915
269	0.8966809754	0.6622943683
270	0.8968284605	0.6618214958
271	0.8969075178	0.6615678801
272	0.8971406148	0.6608195386
273	0.8972877514	0.6603467304
274	0.8976861056	0.659064958
275	0.8979483174	0.6582198847
276	0.8982157018	0.657357022
277	0.8984192017	0.656699558
278	0.8985966953	0.656125577
279	0.8987655538	0.6555790537
280	0.8989891485	0.6548546707
281	0.8991498268	0.6543336234
282	0.8993079481	0.6538204628
283	0.8994416476	0.6533862454
284	0.8997085088	0.652518693
285	0.8998649316	0.6520096338
286	0.9000445967	0.6514244443
287	0.9002153408	0.6508678239
288	0.9004829688	0.649994406
289	0.9006552658	0.6494314845
290	0.9008273276	0.6488688436
291	0.9010171748	0.6482474781
292	0.9011433729	0.6478341052
293	0.9013595496	0.6471253854
294	0.9015021089	0.64665759
295	0.9017715117	0.6457726437
296	0.9019140668	0.6453038814
297	0.9021275818	0.644601145
298	0.9023321164	0.6439272463
299	0.902609441	0.6430123919
300	0.9027845177	0.642434168
301	0.902971527	0.6418159588
302	0.9031195697	0.6413261414
303	0.9032592216	0.6408637432
304	0.9034440908	0.6402511129
305	0.903547108	0.6399094743
306	0.9038446627	0.6389216595
307	0.9040403886	0.6382710602
308	0.9042068466	0.6377172259
309	0.904370847	0.6371710978
310	0.9045707636	0.6365047335
311	0.9046977653	0.6360810472
312	0.904824355	0.6356584544
313	0.9049596085	0.6352066287
314	0.9051732353	0.634492335
315	0.9052994862	0.6340698179
316	0.9054665607	0.633510245
317	0.9056824375	0.6327864887
318	0.9057772914	0.6324682162
319	0.9059756115	0.6318022558
320	0.906102019	0.6313774117
321	0.9062427746	0.6309040084
322	0.9063415399	0.6305716188
323	0.9065016391	0.6300324405
324	0.9065858203	0.6297487519
325	0.9067409748	0.6292255502
326	0.90683	0.6289251487
327	0.9069970897	0.6283609431
328	0.9071106665	0.6279771428
329	0.9072844149	0.6273895563
330	0.9075576329	0.6264644657
331	0.9076407728	0.6261826907
332	0.9077934241	0.6256649996
333	0.9079836868	0.6250191552
334	0.9081220358	0.624549112
335	0.9082041579	0.6242699333
336	0.908352597	0.6237649888
337	0.9086442086	0.6227718235
338	0.9087905177	0.6222729296
339	0.9089294879	0.62179869
340	0.9090944763	0.6212351921
341	0.9092825406	0.6205922573
342	0.9094922027	0.6198746999
343	0.909645385	0.6193499162
344	0.9097802876	0.6188873877
345	0.9099088642	0.6184462272
346	0.9100562461	0.6179401558
347	0.9102152117	0.6173938441
348	0.910324341	0.6170185227
349	0.910498072	0.61642055
350	0.9106169853	0.616010922
351	0.9107312913	0.6156169084
352	0.9108413786	0.6152371981
353	0.9110107532	0.6146525373
354	0.9112020118	0.6139916662
355	0.9112947048	0.6136711209
356	0.9114413565	0.6131636362
357	0.9115978681	0.6126215679
358	0.9117439759	0.6121150994
359	0.911857952	0.611719721
360	0.9119795216	0.6112977195
361	0.9121170146	0.6108200918
362	0.912201068	0.6105279208
363	0.9122199188	0.6104623755
364	0.9123278508	0.6100869563
365	0.912511539	0.6094475026
366	0.9126077391	0.609112344
367	0.9127114732	0.6087507301
368	0.912794765	0.6084602221
369	0.9129304022	0.607986845
370	0.9130813981	0.6074594313
371	0.913251765	0.6068638064
372	0.9134788445	0.6060689971
373	0.9136784706	0.6053694165
374	0.9137628883	0.6050733352
375	0.9138491637	0.6047705885
376	0.9139635668	0.6043689057
377	0.9140626156	0.6040209178
378	0.9143353388	0.6030617228
379	0.9144837873	0.6025389728
380	0.9146143387	0.6020788707
381	0.9148081811	0.6013950632
382	0.9151108877	0.6003256631
383	0.9151967763	0.6000218893
384	0.9152631973	0.5997868636
385	0.9153320583	0.5995431072
386	0.9154785673	0.5990241594
387	0.9155922718	0.598621098
388	0.9157235595	0.5981553694
389	0.9158299346	0.5977777495
390	0.9159647602	0.5972987902
391	0.9160918523	0.5968469518
392	0.9161465307	0.5966524539
393	0.9162280374	0.5963624063
394	0.9162939151	0.5961278726
395	0.9163756977	0.5958365866
396	0.9165002723	0.5953926141
397	0.9165458685	0.5952300305
398	0.9166781297	0.5947581722
399	0.9168467121	0.5941561903
400	0.9169502923	0.5937860186
401	0.9170226259	0.5935273781
402	0.917167709	0.5930082699
403	0.9172538409	0.5926998745
404	0.9174458016	0.5920119808
405	0.9175264985	0.5917225632
406	0.9175533722	0.5916261502
407	0.9176884613	0.5911412606
408	0.9177988854	0.5907446081
409	0.9178717696	0.5904826563
410	0.9180012363	0.5900170552
411	0.918073865	0.5897556997
412	0.9181537727	0.5894680165
413	0.9182656204	0.5890651072
414	0.918374343	0.5886731914
415	0.9184482752	0.5884065367
416	0.9185512184	0.588035045
417	0.9186219404	0.587779694
418	0.918791877	0.5871656619
419	0.9189134034	0.5867261562
420	0.9190058098	0.586391744
421	0.9191088019	0.586018798
422	0.9191668353	0.5858085479
423	0.9192558256	0.5854859969
424	0.9193788493	0.5850397967
425	0.9195108074	0.5845608134
426	0.9196411275	0.5840873905
427	0.9197464786	0.5837043933
428	0.9200050424	0.5827633344
429	0.9201417434	0.5822651879
430	0.9202777847	0.5817690221
431	0.9203429226	0.5815313033
432	0.9204806355	0.5810284037
433	0.9206859167	0.5802779496
434	0.9207374944	0.5800892424
435	0.9208918804	0.5795240235
436	0.9210142197	0.5790757387
437	0.9211432699	0.5786024862
438	0.921322418	0.5779448731
439	0.921427534	0.5775586668
440	0.9214816717	0.5773596588
441	0.9215760342	0.5770126219
442	0.9216896513	0.5765944957
443	0.9218422946	0.5760322699
444	0.9219026878	0.5758096741
445	0.9220118375	0.5754071543
446	0.922090671	0.5751162584
447	0.9222170378	0.5746496577
448	0.9224098374	0.5739370277
449	0.9225377054	0.5734639109
450	0.9226302714	0.5731211688
451	0.9227614113	0.5726352495
452	0.9228834503	0.5721826811
453	0.922959718	0.5718996689
454	0.9230028505	0.5717395521
455	0.9230360585	0.5716162464
456	0.923152246	0.5711846173
457	0.9232612925	0.5707792194
458	0.9234216355	0.5701825957
459	0.9235001258	0.5698903115
460	0.9235744422	0.5696134322
461	0.9236220421	0.569436019
462	0.9237387001	0.5690009808
463	0.9237725021	0.5688748652
464	0.9239401177	0.5682490754
465	0.9241616724	0.5674208459
466	0.9242580337	0.5670602446
467	0.9244451255	0.5663594579
468	0.924562485	0.5659194235
469	0.9246577498	0.5655619805
470	0.924715428	0.5653454564
471	0.9248572387	0.5648127454
472	0.9249661142	0.5644034144
473	0.9251121193	0.5638540229
474	0.9251654772	0.5636531132
475	0.925228966	0.5634139638
476	0.9253908057	0.562803887
477	0.925454257	0.5625645182
478	0.9255090384	0.5623577747
479	0.92564501	0.5618442919
480	0.9257321233	0.561515071
481	0.9257876939	0.5613049559
482	0.925916465	0.5608177644
483	0.9259885588	0.5605448202
484	0.9261215216	0.5600410798
485	0.9261910507	0.5597774828
486	0.9263225042	0.5592787795
487	0.9263651007	0.5591170831
488	0.9264741613	0.5587028759
489	0.926624204	0.5581325177
490	0.9266953575	0.5578618381
491	0.9267721927	0.5575693961
492	0.9269139975	0.5570292712
493	0.9270083704	0.5566695208
494	0.9271249411	0.5562248308
495	0.927231047	0.5558197523
496	0.9274333746	0.5550465111
497	0.9274639119	0.554929712
498	0.9274867642	0.5548422906
499	0.9275724202	0.5545144909
